Sector Name,Department,Property Centre,Region,ePIMS Property Ref,Department Building Ref,Building Name,Road,Postcode,Latitude,Longitude,Building Floor Area,Floor Type Description,Building Type,Construction Date,Building Usage,Number of Floors,Refurbishment Date,Listed Building Description,DEC Certificate Reference Number,DEC Property Reference Number,DEC Operational Rating,DEC Operational Rating Value,EPC Certificate Reference,EPC Property Reference,EPC Issue Date,EPC Asset Rating,EPC Asset Rating Value,Occupied NIA,Total Office Based Staff and Contractors (FTE),Number of Workstations,Total occupancy cost,Total property cost,Total Property cost by NIA,Total property cost by Occupied NIA,Total property cost per FTE,Total Occupancy Cost per FTE,Sqm per office based FTE,Energy consumption (Kwh),Water Consumption (M3),Waste (tonnes),CO2  equivalent (tonnes),CO2  per FTE (tonnes),Non recycled waste per FTE (tonnes),,
Central Civil Estate,Attorney General's Office (LOD),AGO - ATTORNEY GENERAL'S OFFICE,London,402688,1,20 vICTORIA STREET,VICTORIA STREET,SW1H 0NZ,51.49884182,-0.131864239,"1,157.00",Concrete,Not Known,Unknown,Office,10,,Not BSAHI,0290-5979-0107-4711-6064,'560796140001,G,171,,,,,,910,42,46,,"$941,446.00 ",$813.70 ,"$1,035.00 ","$22,415.00 ",,21.7,"287,313.00",1447,5,154,3.67,,, 
Central Civil Estate,Attorney General's Office (LOD),AGO - TREASURY SOLICITOR,South West,184120,1,RIVERSIDE CHAMBERS,CASTLE STREET,TA1 4AP,51.01645221,-3.11106155,"2,799.84",Concrete,Top Quality but NOT Air Conditioned,1990  -  1999,Office,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Civil Estate,Attorney General's Office (LOD),AGO - TREASURY SOLICITOR,London,202708,Kingsway Block,TOWER BLOCK,KEMBLE STREET,WC2B 4TS,51.51477744,-0.119538165,"11,117.52",Not Known,Top Quality but NOT Air Conditioned,1960  -  1969,Office,16,31-Jul-05,Not BSAHI,,,,,,,,,,11118,843,679,,"$7,002,856.00 ",$629.89 ,$630.00 ,"$8,307.00 ",,13.2,"2,764,316.00",5938,114,1256,1.49,0.069,,
Central Civil Estate,Cabinet Office,CO - EX COI,London,33066,1,HERCULES HOUSE,HERCULES ROAD,SE1 7DU,51.49824287,-0.113548195,"10,001.00",Concrete,Standard Office Building,1950  -  1959,Office,11,,,0230-4931-0140-5260-0090,'494310650000,G,201,,,,,,6501,457,700,,"$2,224,195.00 ",$222.40 ,$342.00 ,"$4,867.00 ",,14.2,"2,176,561.00",5691,104,983,2.15,0.093,,
Central Civil Estate,Cabinet Office,CO - FINANCIAL AND ESTATE MANAGEMENT,London,19965,1,ADMIRALTY ARCH,THE MALL,SW1A 2WH,51.50662792,-0.12839001,"7,383.00",Concrete,"Average, NOT Air Conditioned, Good but Older",Pre 1900,Office,7,,Grade II,0998-2069-1510-5500-4203,'481590590000,D,95,,,,,,7383,449,476,"$3,025,568 ","$2,471,825.00 ",$334.80 ,$335.00 ,"$5,505.00 ","$6,738 ",16.4,"2,078,097.00",2876,,1116,2.49,,,
Central Civil Estate,Cabinet Office,CO - FINANCIAL AND ESTATE MANAGEMENT,London,20121,1, Great Scotland Yard,GREAT SCOTLAND YARD,SW1A 2HJ,51.5065485,-0.125669784,"1,037.90",Concrete,Poorer Quality,Unknown,Specialist,,,Not BSAHI,,, ,,,,,,,,,,,,,,,,,,,,,,,,
Central Civil Estate,Cabinet Office,CO - FINANCIAL AND ESTATE MANAGEMENT,London,20925,1,ADMIRALTY HOUSE,WHITEHALL,SW1A 2BL,51.50560118,-0.127164033,"1,367.00",Concrete,"Average, NOT Air Conditioned, Good but Older",Pre 1900,Office,,,,0960-7956-0170-1330-5054,'757565310000,D,77,,,,,,,,,,,,,,,,,,,,,,,
Central Civil Estate,Cabinet Office,CO - FINANCIAL AND ESTATE MANAGEMENT,London,20932,1, Whitehall 36,WHITEHALL,SW1A 2AY,51.50536615,-0.127087213,"2,030.04",Concrete,"Average, NOT Air Conditioned, Good but Older",Pre 1900,Office,5,,Grade II,0260-2979--0172-3560-8030,'237798630000,D,86,,,,,,2030,65,64,"$889,752 ","$747,756.00 ",$368.35 ,$368.00 ,"$11,504.00 ","$13,688 ",31.2,"185,459.00",513,,100,1.53,,,
Central Civil Estate,Cabinet Office,CO - FINANCIAL AND ESTATE MANAGEMENT,London,20987,1, Downing Street,DOWNING STREET,SW1A 2AS,51.50349576,-0.127653808,"4,066.20",Concrete,"Good to Average, Air Conditioned",Pre 1900,Office,5,,Grade 1,9762-1006-0320-0200-5925,'720392060000,D,82,,,,,,2877,224,189,,"$1,471,531.00 ",$361.89 ,$511.00 ,"$6,569.00 ",,12.8,"1,207,443.00",2202,,520,2.32,,,
Central Civil Estate,Cabinet Office,CO - FINANCIAL AND ESTATE MANAGEMENT,London,21012,1, 70WH,WHITEHALL,SW1A 2AS,51.50354165,-0.126585662,"8,610.00",Concrete,"Average, NOT Air Conditioned, Good but Older",Pre 1900,Office,7,01-Jan-09,Grade 1,,,,,,,,,,5050,459,475,,"$1,540,982.00 ",$178.98 ,$305.00 ,"$3,357.00 ",,11,"1,151,937.00",6071,,619,1.35,,,
